customer_id,days_since_last_order,total_orders,avg_order_value,total_spend,tenure_days,returns_count,support_tickets,discount_usage_pct,primary_category,device_type,has_wishlist,has_reviews,loyalty_tier,email_open_rate_pct,push_notif_opt_in,churned
CUST00001,21,8,90.7,655.14,561,2,0,20.8,Electronics,Tablet,1,0,Gold,19.7,1,No
CUST00002,135,4,31.21,118.91,841,2,2,38.1,Home & Garden,Desktop,0,0,Silver,4.5,0,No
CUST00003,59,16,13.96,201.16,485,2,0,21.1,Electronics,Mobile,1,0,Silver,21.9,1,No
CUST00004,41,3,15.4,51.83,1178,0,3,71.5,Beauty,Mobile,1,1,Silver,3.5,0,No
CUST00005,7,10,52.17,485.76,412,0,2,31.3,Home & Garden,Tablet,0,0,Silver,20.1,1,No
CUST00006,7,6,81.28,479.59,324,0,2,16.7,Home & Garden,Mobile,1,0,None,15.8,0,No
CUST00007,2,3,46.44,155.82,354,2,0,31.9,Home & Garden,Desktop,0,0,Gold,31.3,1,No
CUST00008,90,16,77.04,1252.19,691,0,1,51.8,Sports,Mobile,1,1,None,8.0,0,No
CUST00009,41,12,15.03,203.78,344,1,0,57.7,Sports,Mobile,0,1,Silver,32.4,0,No
CUST00010,55,4,15.86,71.56,429,2,2,29.7,Beauty,Mobile,0,0,Gold,29.2,1,No
CUST00011,1,3,331.34,982.57,73,2,0,57.6,Fashion,Tablet,1,1,Silver,49.6,0,No
CUST00012,157,6,146.38,899.99,731,1,1,27.4,Electronics,Desktop,1,1,Silver,23.7,1,No
CUST00013,80,2,101.01,185.68,177,0,0,79.5,Fashion,Mobile,0,0,Silver,15.5,1,No
CUST00014,10,7,32.21,258.65,52,2,0,46.7,Beauty,Mobile,1,1,Silver,6.2,1,No
CUST00015,9,15,45.13,631.93,482,3,0,37.1,Home & Garden,Desktop,1,1,None,75.9,1,No
CUST00016,9,6,54.52,354.92,132,3,0,14.0,Beauty,Mobile,1,0,Silver,30.5,1,No
CUST00017,16,1,156.25,147.48,61,0,1,64.2,Electronics,Mobile,1,0,None,27.9,0,No
CUST00018,33,2,75.36,142.27,88,0,0,90.0,Electronics,Tablet,0,0,None,34.5,1,No
CUST00019,25,4,83.16,293.11,30,3,1,10.9,Home & Garden,Desktop,1,0,Gold,11.0,1,No
CUST00020,15,4,47.75,194.43,30,3,0,18.3,Fashion,Tablet,0,0,None,19.3,1,No
CUST00021,42,8,102.94,760.48,269,1,1,33.8,Fashion,Desktop,0,0,None,17.2,0,No
CUST00022,6,1,69.54,62.2,603,0,0,30.6,Fashion,Desktop,0,0,Silver,55.6,1,No
CUST00023,15,8,56.56,415.38,178,0,0,35.0,Beauty,Desktop,1,0,Silver,13.1,0,No
CUST00024,20,17,30.13,473.96,295,1,0,44.0,Beauty,Mobile,0,0,None,10.7,1,No
CUST00025,27,1,49.86,49.92,497,3,0,78.5,Electronics,Mobile,1,0,Silver,29.4,1,No
CUST00026,69,7,23.02,155.63,132,0,1,14.8,Fashion,Desktop,1,0,None,45.6,1,No
CUST00027,10,12,52.87,553.64,318,2,0,70.4,Beauty,Mobile,1,0,Silver,41.5,1,No
CUST00028,32,11,58.62,651.79,129,1,1,22.1,Sports,Mobile,0,1,Silver,17.8,0,No
CUST00029,40,7,10.0,76.04,308,2,0,70.6,Sports,Mobile,1,0,None,39.9,0,No
CUST00030,2,14,45.41,649.9,73,1,0,30.6,Electronics,Tablet,1,0,Silver,21.7,1,No
CUST00031,42,5,21.31,121.72,1142,0,1,50.8,Electronics,Tablet,1,0,None,28.5,1,No
CUST00032,8,15,81.36,1073.64,30,2,1,31.5,Home & Garden,Desktop,0,1,None,13.8,0,No
CUST00033,3,9,90.9,896.92,211,3,2,14.3,Fashion,Tablet,1,1,None,26.6,0,No
CUST00034,133,8,38.82,311.09,101,1,0,39.0,Electronics,Tablet,0,1,Silver,34.7,1,No
CUST00035,151,5,84.71,426.29,275,4,1,36.3,Home & Garden,Mobile,1,1,None,5.0,1,No
CUST00036,74,9,87.61,793.01,167,0,0,54.3,Electronics,Mobile,1,0,Silver,8.0,1,No
CUST00037,16,5,45.43,215.25,109,1,2,52.1,Fashion,Desktop,0,0,None,8.2,0,No
CUST00038,4,12,186.31,2118.05,86,1,1,56.2,Beauty,Mobile,1,1,None,25.0,0,No
CUST00039,51,11,30.57,349.57,60,1,1,74.8,Beauty,Mobile,1,1,Silver,19.1,0,No
CUST00040,26,20,177.17,3059.48,458,0,0,35.2,Home & Garden,Desktop,0,1,Silver,15.9,1,No
CUST00041,5,12,45.6,561.78,75,0,2,17.4,Sports,Mobile,1,0,None,21.2,0,No
CUST00042,30,8,27.81,237.47,445,1,2,62.1,Electronics,Tablet,1,0,Gold,12.2,1,No
CUST00043,1,7,41.21,276.04,199,4,0,58.3,Beauty,Mobile,1,1,Silver,10.7,0,No
CUST00044,108,24,22.66,497.73,30,1,3,64.1,Electronics,Mobile,0,0,Silver,6.2,1,No
CUST00045,13,5,102.27,467.38,54,1,1,43.6,Electronics,Mobile,1,0,None,24.8,0,Yes
CUST00046,48,9,15.15,119.25,670,1,1,32.7,Home & Garden,Desktop,0,1,Silver,35.7,1,No
CUST00047,16,1,165.95,145.52,277,0,0,61.8,Electronics,Mobile,1,1,Gold,80.1,0,No
CUST00048,33,3,25.82,69.71,61,1,0,17.3,Home & Garden,Mobile,0,1,Silver,11.0,1,No
CUST00049,35,18,106.63,1642.48,364,1,0,16.7,Electronics,Desktop,0,1,None,41.3,0,No
CUST00050,9,15,55.67,776.49,519,2,0,39.9,Home & Garden,Mobile,0,0,Gold,34.0,1,No
CUST00051,157,6,67.81,383.23,120,3,0,77.3,Fashion,Tablet,0,1,None,24.9,1,No
CUST00052,67,3,34.05,117.33,243,2,1,57.7,Electronics,Desktop,0,1,Gold,25.6,1,No
CUST00053,126,4,72.4,332.32,104,1,0,63.0,Beauty,Tablet,1,0,Silver,14.5,0,No
CUST00054,101,4,60.82,220.44,30,0,2,14.1,Fashion,Mobile,1,0,Silver,23.1,1,No
CUST00055,40,2,17.01,31.09,153,1,0,45.1,Fashion,Mobile,1,0,Silver,7.8,0,No
CUST00056,114,19,25.28,479.15,417,2,1,31.3,Fashion,Desktop,1,0,None,18.6,1,Yes
CUST00057,4,4,35.42,126.75,184,0,2,30.3,Electronics,Desktop,1,0,Silver,5.4,1,No
CUST00058,9,2,29.84,59.75,155,1,2,21.5,Fashion,Mobile,0,1,None,54.1,1,No
CUST00059,2,7,148.75,1009.82,136,0,3,64.4,Home & Garden,Desktop,0,1,Gold,24.3,0,No
CUST00060,17,1,54.91,52.02,184,1,0,68.6,Sports,Mobile,1,0,Platinum,8.7,0,No
CUST00061,22,11,29.28,353.25,114,2,0,61.9,Beauty,Tablet,0,1,None,51.2,0,No
CUST00062,14,4,36.87,162.0,284,3,0,12.3,Electronics,Desktop,1,0,Gold,13.6,1,No
CUST00063,79,9,36.47,376.27,30,1,1,47.0,Electronics,Mobile,1,0,None,34.9,1,No
CUST00064,19,8,43.36,318.06,494,0,0,73.3,Electronics,Mobile,0,1,None,34.2,0,No
CUST00065,14,6,23.1,154.74,57,1,0,1.8,Electronics,Tablet,1,1,None,11.8,1,No
CUST00066,35,9,28.47,259.14,301,1,3,6.9,Home & Garden,Tablet,1,1,None,5.6,0,No
CUST00067,6,1,100.81,103.58,179,1,2,4.3,Electronics,Mobile,1,1,Silver,40.2,0,No
CUST00068,72,1,63.32,70.85,445,0,1,15.9,Home & Garden,Mobile,1,0,Gold,6.7,1,No
CUST00069,3,4,48.33,218.99,524,0,1,32.8,Electronics,Mobile,0,0,Gold,16.7,0,No
CUST00070,195,9,54.71,525.89,68,1,2,12.2,Sports,Desktop,1,1,None,44.3,0,No
CUST00071,66,5,52.64,251.19,339,1,1,26.5,Beauty,Desktop,1,0,Gold,23.2,0,No
CUST00072,9,13,46.19,598.61,63,1,0,30.8,Sports,Tablet,0,0,None,31.5,0,No
CUST00073,1,2,82.57,170.84,39,1,1,50.2,Sports,Desktop,1,1,None,8.1,0,Yes
CUST00074,76,8,77.83,684.03,799,1,0,42.7,Beauty,Mobile,1,1,None,44.5,1,No
CUST00075,55,10,15.53,162.66,53,2,2,28.6,Electronics,Mobile,0,0,Gold,20.0,1,No
CUST00076,58,3,49.14,141.47,77,0,1,30.4,Electronics,Desktop,0,0,Silver,10.2,0,No
CUST00077,66,2,16.37,31.93,41,0,2,73.5,Fashion,Mobile,0,0,None,14.9,0,Yes
CUST00078,3,1,90.78,78.54,190,0,1,24.4,Fashion,Tablet,1,0,None,39.5,0,Yes
CUST00079,19,3,100.9,341.23,756,1,0,57.7,Home & Garden,Mobile,0,1,None,56.6,1,No
CUST00080,5,17,33.49,498.98,91,0,0,79.5,Beauty,Desktop,1,0,None,7.1,1,No
CUST00081,89,2,49.73,101.84,234,1,0,53.5,Electronics,Mobile,1,1,Silver,66.6,1,No
CUST00082,43,6,10.08,67.22,159,2,1,32.9,Home & Garden,Mobile,1,0,Gold,6.4,0,No
CUST00083,18,9,118.89,1044.61,122,1,0,36.0,Electronics,Mobile,1,0,None,28.8,1,No
CUST00084,2,9,96.33,945.03,254,0,1,41.6,Beauty,Mobile,1,0,Gold,11.5,0,No
CUST00085,16,10,137.01,1494.98,245,1,1,11.8,Electronics,Mobile,1,0,Gold,7.5,1,Yes
CUST00086,17,4,179.33,622.6,133,1,1,28.3,Fashion,Desktop,1,1,Gold,70.4,1,No
CUST00087,58,8,20.51,159.76,570,0,0,40.4,Fashion,Mobile,1,0,Gold,39.8,1,No
CUST00088,45,5,111.1,587.33,30,1,1,37.7,Home & Garden,Mobile,1,0,Platinum,33.0,1,Yes
CUST00089,98,5,178.3,870.73,30,2,0,50.0,Electronics,Mobile,1,0,None,49.1,0,No
CUST00090,28,8,16.52,133.95,1405,1,0,41.8,Sports,Tablet,1,1,Gold,25.6,0,No
CUST00091,5,4,47.61,195.84,413,1,0,27.5,Fashion,Desktop,0,0,Gold,42.3,1,No
CUST00092,56,7,40.82,255.84,488,0,2,55.1,Fashion,Tablet,0,0,None,23.1,0,No
CUST00093,64,10,108.24,1053.82,276,0,0,46.3,Electronics,Tablet,1,0,Silver,33.7,0,No
CUST00094,37,8,10.0,68.68,163,3,1,30.4,Beauty,Mobile,0,0,Gold,49.5,1,No
CUST00095,66,6,233.4,1253.2,297,0,3,66.8,Electronics,Desktop,0,0,None,33.2,1,No
CUST00096,30,4,49.9,200.33,30,2,0,52.9,Electronics,Mobile,0,0,None,13.7,1,No
CUST00097,33,1,113.62,116.13,425,1,0,34.1,Home & Garden,Tablet,1,0,Platinum,35.5,1,No
CUST00098,25,10,52.03,465.08,233,0,0,18.7,Sports,Mobile,0,1,Silver,2.2,0,No
CUST00099,1,19,80.94,1655.79,942,1,1,75.2,Electronics,Mobile,1,1,None,9.6,1,No
CUST00100,5,5,10.0,48.09,304,1,0,59.1,Electronics,Tablet,1,0,Platinum,36.6,0,No
CUST00101,1,2,40.13,90.39,49,0,0,37.3,Beauty,Tablet,0,1,Gold,8.2,1,No
CUST00102,45,4,107.58,415.82,194,2,1,30.2,Beauty,Mobile,0,0,Gold,34.3,1,No
CUST00103,16,6,68.79,369.38,30,1,0,60.4,Sports,Mobile,0,0,Silver,27.4,1,No
CUST00104,31,4,14.74,63.52,410,0,0,22.6,Home & Garden,Tablet,0,0,None,61.9,0,No
CUST00105,107,12,57.35,702.2,209,2,0,44.1,Fashion,Mobile,1,1,Gold,9.0,1,No
CUST00106,12,2,28.36,54.79,138,1,0,38.4,Fashion,Tablet,0,0,None,14.3,0,No
CUST00107,23,7,26.46,177.22,1037,2,1,47.1,Fashion,Tablet,1,1,None,36.4,0,No
CUST00108,63,12,16.17,173.71,847,2,1,50.6,Sports,Mobile,1,1,None,38.0,0,No
CUST00109,11,2,89.56,170.57,916,2,1,23.2,Fashion,Mobile,1,0,None,37.0,0,No
CUST00110,3,2,133.01,228.46,74,0,0,18.5,Electronics,Mobile,1,1,None,18.9,1,No
CUST00111,15,8,297.71,2383.4,391,0,0,39.5,Fashion,Mobile,1,0,None,19.3,0,No
CUST00112,7,2,16.79,37.58,872,1,1,45.9,Sports,Desktop,1,1,Silver,46.1,1,Yes
CUST00113,119,3,100.88,329.45,253,1,1,56.7,Fashion,Desktop,1,0,None,11.4,1,No
CUST00114,74,7,106.33,639.03,72,0,1,63.7,Fashion,Desktop,1,0,Silver,18.2,0,No
CUST00115,45,20,34.32,764.91,510,1,0,41.0,Fashion,Mobile,1,1,None,12.6,1,No
CUST00116,92,5,26.2,129.13,635,1,1,55.1,Electronics,Mobile,1,1,None,0.1,1,Yes
CUST00117,73,8,22.91,166.28,364,0,0,43.4,Home & Garden,Mobile,0,1,Silver,15.5,1,No
CUST00118,9,1,35.81,38.52,104,1,0,15.4,Beauty,Desktop,0,0,None,30.5,0,No
CUST00119,100,4,64.21,243.19,63,2,2,37.0,Fashion,Tablet,0,0,Gold,8.7,0,No
CUST00120,34,5,162.08,750.43,293,4,2,53.3,Sports,Mobile,1,1,Gold,9.4,0,No
CUST00121,74,5,132.19,593.79,197,1,0,4.8,Beauty,Tablet,1,0,Platinum,32.3,1,No
CUST00122,101,13,14.99,194.09,331,2,1,6.1,Home & Garden,Mobile,0,0,None,16.5,1,No
CUST00123,17,6,29.05,153.04,35,1,0,65.9,Beauty,Tablet,1,1,None,23.1,1,No
CUST00124,5,4,154.43,670.65,43,1,1,20.3,Beauty,Mobile,1,0,None,15.0,1,No
CUST00125,11,3,30.42,90.46,135,0,1,59.7,Home & Garden,Tablet,1,1,None,27.7,0,No
CUST00126,25,9,52.17,462.06,89,2,2,52.9,Fashion,Tablet,0,0,None,11.7,1,No
CUST00127,76,3,13.95,35.6,289,1,1,60.8,Electronics,Desktop,1,0,Gold,59.9,0,No
CUST00128,88,7,137.34,1053.06,137,1,0,23.1,Fashion,Mobile,1,1,None,17.5,0,No
CUST00129,1,5,11.82,58.97,345,0,2,24.5,Home & Garden,Desktop,0,0,None,0.4,1,No
CUST00130,32,6,14.67,86.43,439,2,4,83.6,Sports,Desktop,1,1,None,33.5,1,No
CUST00131,24,12,126.55,1637.68,62,0,2,36.6,Electronics,Desktop,0,0,Silver,24.0,0,No
CUST00132,11,7,253.67,1542.84,757,3,1,75.3,Beauty,Desktop,1,0,Silver,35.0,0,No
CUST00133,5,7,43.27,290.78,464,0,0,53.0,Electronics,Desktop,1,1,None,7.6,0,Yes
CUST00134,18,4,52.59,215.14,295,1,0,39.2,Sports,Mobile,0,1,Silver,5.9,1,No
CUST00135,128,12,112.91,1338.9,718,1,1,30.2,Home & Garden,Mobile,0,0,Gold,22.5,1,No
CUST00136,17,5,68.82,311.24,92,1,2,33.1,Fashion,Mobile,0,0,None,5.7,0,No
CUST00137,32,6,40.51,228.42,164,1,1,73.0,Fashion,Desktop,0,0,Silver,33.0,0,No
CUST00138,54,16,37.03,556.97,30,3,0,34.8,Electronics,Mobile,1,0,Silver,5.2,0,No
CUST00139,20,6,15.59,107.35,182,0,2,28.0,Beauty,Mobile,0,0,None,33.1,1,No
CUST00140,160,9,65.78,561.15,211,1,0,32.5,Home & Garden,Desktop,0,0,None,26.6,1,No
CUST00141,147,3,50.73,138.73,287,0,0,29.8,Sports,Desktop,1,0,None,13.4,0,No
CUST00142,13,16,38.46,674.92,30,0,2,37.2,Home & Garden,Tablet,1,0,Gold,37.3,1,No
CUST00143,30,15,24.5,358.81,30,0,1,46.8,Electronics,Tablet,1,0,None,10.4,1,No
CUST00144,16,8,26.56,208.9,163,4,0,43.7,Beauty,Mobile,0,0,None,33.9,0,No
CUST00145,15,3,89.54,272.56,62,0,1,61.3,Sports,Desktop,0,1,Silver,77.2,1,No
CUST00146,1,7,110.53,795.92,426,3,4,21.4,Sports,Tablet,1,0,Gold,43.4,1,No
CUST00147,42,6,42.03,259.03,331,2,0,12.7,Beauty,Desktop,0,0,None,37.1,1,No
CUST00148,31,1,38.63,33.24,118,1,1,53.9,Fashion,Mobile,0,1,None,22.2,1,No
CUST00149,2,4,27.58,120.87,30,3,1,23.6,Home & Garden,Tablet,1,1,Gold,19.0,0,No
CUST00150,14,2,115.52,209.89,60,1,0,27.9,Home & Garden,Tablet,1,0,Silver,63.8,0,No
CUST00151,107,5,55.97,262.42,352,0,0,9.0,Home & Garden,Mobile,0,1,Silver,43.9,1,No
CUST00152,12,13,73.28,859.31,1386,0,1,29.1,Electronics,Desktop,1,0,Silver,33.5,1,No
CUST00153,7,10,72.73,785.57,118,4,1,38.3,Electronics,Mobile,1,0,None,5.0,1,No
CUST00154,30,8,42.68,350.01,485,2,1,67.2,Home & Garden,Mobile,1,0,Silver,25.8,0,No
CUST00155,190,16,21.49,370.17,605,0,0,28.7,Beauty,Mobile,1,1,None,51.6,1,Yes
CUST00156,12,3,24.61,77.23,30,0,1,49.0,Electronics,Desktop,0,1,Gold,17.0,1,No
CUST00157,50,8,134.6,948.93,743,0,0,18.8,Electronics,Desktop,1,0,None,22.1,0,No
CUST00158,64,5,30.55,143.65,188,2,1,10.2,Beauty,Mobile,0,0,Silver,3.0,0,No
CUST00159,12,16,39.32,630.49,999,2,1,44.4,Beauty,Mobile,1,0,Gold,3.6,0,No
CUST00160,58,3,22.03,62.22,232,2,1,10.6,Home & Garden,Mobile,1,1,None,31.5,1,No
CUST00161,20,4,20.64,75.31,80,0,0,60.6,Electronics,Tablet,0,1,Silver,5.4,1,No
